#{"t_start": 1753533662.850664, "env_id": "None"}
r,l,t
-253.747887,133,1005.043721
-208.7691,107,1006.419412
-227.410429,103,1007.764846
-213.290386,112,1009.243654
-233.332889,136,1011.073811
-202.293099,111,1012.558768
-263.539508,142,1014.425443
-231.123688,134,1016.225047
-214.797608,97,1017.545883
-213.742818,111,1019.061244
-172.25707,104,1020.467335
-265.977301,150,1022.618114
-179.824459,105,1024.103432
-176.352157,102,1025.448991
-158.910286,94,1026.672516
-191.328497,107,1028.084875
-157.900529,91,1029.41824
-298.171889,151,1033.733386
-157.535162,95,1034.951744
-205.421472,108,1036.314896
-197.917883,102,1037.684974
-263.441994,132,1039.387638
-276.978119,150,1041.375465
-211.754578,101,1042.890205
-192.21382,94,1044.314397
-299.138916,147,1046.320602
-242.265998,109,1047.775584
-169.238012,101,1049.265656
-194.735198,94,1050.671404
-181.462923,101,1052.09012
-187.497522,104,1053.45973
-177.402053,104,1054.841899
-265.80556,146,1056.804829
-274.331462,141,1058.726162
-170.02424,99,1060.08964
-174.893898,103,1063.744097
-260.608736,110,1065.137685
-192.393661,100,1066.440861
-190.628437,103,1067.780291
-184.18045,92,1068.998427
-174.57013,98,1070.259028
-199.690517,101,1071.586114
-202.844086,106,1073.010959
-163.336286,92,1074.228791
-167.808013,94,1075.519794
-175.902699,106,1076.919168
-200.503336,107,1078.355449
-247.562536,105,1079.785569
-272.960284,129,1081.542929
-164.79776,90,1082.791082
-190.464003,89,1083.991543
-188.668731,107,1085.391137
-183.220039,98,1086.706575
-188.227662,93,1087.949312
-178.345574,102,1089.288609
-250.695713,115,1093.166882
-209.45414,108,1094.536514
-157.975636,96,1095.821418
-176.894371,94,1097.039555
-168.530759,93,1098.269284
-243.475278,114,1099.784886
-171.435115,102,1101.105906
-174.915183,100,1102.481467
-233.13982,124,1104.129686
-184.812625,119,1105.711735
-205.214624,113,1107.250894
-186.289049,112,1108.735952
-203.860578,101,1110.118155
-218.000116,100,1111.426935
-153.552986,95,1112.6563
-277.846708,134,1114.474417
-177.008397,94,1115.778461
-186.972058,90,1117.025928
-195.126533,103,1118.396003
-168.079693,102,1119.765685
-168.788605,108,1123.644217
-178.620648,102,1124.941399
-155.507929,95,1126.406438
-183.285797,93,1128.825454
-166.909952,99,1130.383931
-149.377687,97,1131.734646
-216.060564,101,1133.116558
-172.168617,95,1134.486313
-235.545603,102,1135.922867
-189.595459,109,1137.431583
-209.451679,99,1138.837661
-201.268924,106,1140.407575
-211.310805,100,1141.764417
-161.062961,97,1143.09195
-172.251806,89,1144.358433
-240.571119,126,1146.092353
-171.662725,93,1147.303641
-204.214222,100,1148.722944
-174.971028,98,1150.085468
-170.618161,95,1151.370291
-190.686694,87,1155.098029
-185.29625,89,1156.35199
-178.748808,97,1157.758416
-161.616261,96,1159.139561
-177.67541,95,1160.381924
-170.996541,92,1161.606158
-171.666203,103,1162.994462
-187.134159,96,1164.254202
-195.292432,96,1165.508922
-173.560829,101,1166.811448
-198.362198,114,1168.272908
-175.440337,93,1169.532904
-166.878515,96,1170.817856
-154.698317,93,1172.048021
-191.962222,92,1173.266414
