#{"t_start": 1753598454.730259, "env_id": "None"}
r,l,t
-1815.289631,500,2216.095301
-2469.114001,500,2223.555652
-2154.105056,500,2230.936831
-2014.34052,500,2238.37324
-1859.204982,500,2245.676069
-1918.113197,500,2253.063635
-2211.443546,500,2260.385057
-1852.551668,500,2267.723566
-2057.415679,500,2275.014283
-1804.435758,500,2282.504727
-2487.872123,500,2289.886455
-2773.098934,500,2297.340367
-2494.25966,500,2304.685604
-2056.336267,500,2311.812525
-1800.60642,500,2319.01824
-1896.562632,500,2326.169261
-2382.863513,500,2333.278325
-2119.002219,500,2340.526071
-2023.562323,500,2347.823331
-2023.26111,500,2355.022227
-2302.635663,500,2362.277036
-1795.013391,500,2369.604055
-2328.936912,500,2376.821827
-1674.144418,500,2384.142114
-2690.659676,500,2391.463875
-2615.072592,500,2398.851003
-3322.522214,500,2406.335524
-3582.193443,500,2413.662373
-3869.125029,500,2420.928504
-3044.604971,500,2428.352551
-3232.995786,500,2435.498209
-3463.318667,500,2442.854914
-3272.885348,500,2450.169405
-3027.711292,500,2457.563694
-3240.213049,500,2464.969288
-2945.978691,500,2472.423528
-3049.689084,500,2479.932012
-3375.203763,500,2487.355998
-3269.260449,500,2494.804312
-3098.949243,500,2502.258712
-3398.413373,500,2509.658103
-3721.11167,500,2517.094332
-4014.364037,500,2524.602976
-3363.411066,500,2531.936037
-4146.782275,500,2539.419908
-4855.076112,500,2546.589344
-5182.777699,500,2553.595248
-5390.237548,500,2560.534447
-5240.844366,500,2567.437036
-5088.557227,500,2574.600438
-5522.59783,500,2581.842887
-5394.095799,500,2589.242228
-5725.945276,500,2596.59988
-5753.11583,500,2603.999579
-5823.845927,500,2611.338174
-5442.402675,500,2618.574611
-5559.66856,500,2625.859589
-5679.504944,500,2633.119336
-5661.288725,500,2640.537447
-5721.312271,500,2647.827819
-5731.407681,500,2655.166977
-5654.96796,500,2662.518058
-5819.284049,500,2670.092983
-5733.551211,500,2677.626239
-5574.551919,500,2685.087078
-5589.699204,500,2692.540777
-5688.04724,500,2699.952529
-5735.423108,500,2707.340307
-5541.384481,500,2714.746154
-5978.507447,500,2722.006613
-5438.295746,500,2729.393402
-5900.642848,500,2736.908782
-5581.129625,500,2744.337613
-5981.536234,500,2751.811044
-5633.499297,500,2759.272686
-5843.098968,500,2766.652401
-5620.446958,500,2774.034383
-5720.395052,500,2781.361248
-5804.70299,500,2788.463795
-5373.315501,500,2795.633387
-5610.853214,500,2802.754214
-5367.377443,500,2809.833006
-4914.992393,500,2817.105247
-4949.981674,500,2824.377173
-4818.000661,500,2831.637989
-4537.708215,500,2838.825777
-5520.313254,500,2846.202381
-5372.287616,500,2853.454865
-5667.358865,500,2860.733695
-5796.807169,500,2867.927271
-5686.622354,500,2875.175408
-5563.72539,500,2882.653741
-5559.599244,500,2889.950505
-5738.327713,500,2897.386778
-5672.34762,500,2904.798243
-5526.988423,500,2912.337348
-5405.441507,500,2919.942642
-5472.944883,500,2927.597128
-5580.057521,500,2935.032966
-5733.707232,500,2942.49935
-5617.251052,500,2949.802225
-5828.413197,500,2957.268223
-5676.661594,500,2964.595309
-5830.257144,500,2971.910358
-5395.691939,500,2979.327858
-5680.125374,500,2986.703045
-5837.276453,500,2994.03054
-5543.527588,500,3001.393322
-5744.763265,500,3008.781712
-5610.267396,500,3016.199671
-5561.497867,500,3023.405228
-5813.717109,500,3030.574007
-5682.645765,500,3037.798348
-5637.469717,500,3044.889388
-5547.446735,500,3052.119086
-5590.277324,500,3059.318311
-5377.528862,500,3066.536728
-5644.516963,500,3073.754236
-5470.634867,500,3081.014951
-5596.189777,500,3088.20241
-5351.095614,500,3095.443983
-5451.707187,500,3102.686266
-5074.702273,500,3110.110091
-5380.728792,500,3117.406294
-4319.696091,500,3124.745355
-4293.885635,500,3132.012963
-4142.219324,500,3139.418212
-4532.148558,500,3146.768896
-4144.372007,500,3154.035172
-4495.513282,500,3161.338561
-4309.023111,500,3168.72014
-4180.707063,500,3176.277295
-3945.618124,500,3183.66413
-3888.013169,500,3190.991608
-3969.992466,500,3198.324816
-3525.779089,500,3205.748775
-3745.251025,500,3213.075454
-3513.671085,500,3220.602373
-3553.515493,500,3228.002066
-4031.519746,500,3235.347186
-2896.197682,428,3241.644379
-1611.738542,370,3247.177137
-953.576605,262,3251.098115
-687.930263,219,3254.249382
-637.008529,219,3257.515604
-392.073053,155,3259.812622
-231.924102,122,3261.570287
-168.369286,98,3262.970299
-282.799884,118,3264.72121
-175.699339,91,3266.042421
-176.752358,95,3267.460537
-339.846611,145,3269.606059
-492.302758,166,3271.951332
-313.575742,150,3274.090913
-315.733865,153,3276.339417
-272.496101,138,3278.34522
-300.121009,151,3280.563432
-209.523261,112,3282.174253
-283.344543,124,3284.011758
-200.741632,98,3285.436291
-238.143675,97,3286.823182
-206.477152,93,3288.156916
-205.981826,106,3289.744586
-305.005426,140,3291.745084
-303.687689,136,3293.72587
-297.848084,138,3295.78692
-308.557061,155,3298.102095
-190.33056,109,3299.719616
-324.634751,142,3301.798276
-455.364334,174,3304.36246
-2858.683738,500,3311.72578
-3131.358696,500,3319.058546
-3410.293954,500,3326.336823
-3562.401928,500,3333.676289
-3697.619619,500,3340.985257
-3272.916689,500,3348.23864
-2631.942899,500,3355.590435
-3075.671656,500,3363.002378
-2569.117116,500,3370.504309
-2580.632721,500,3378.020196
-3084.802891,500,3385.467419
-2885.791193,500,3393.006362
-2422.706251,500,3400.473191
-3584.694805,500,3408.012339
-2922.396094,500,3415.442151
-2978.24082,500,3423.030056
-3287.782285,500,3430.56205
-3669.124113,500,3438.065196
-3875.713811,500,3445.525724
-3564.825514,500,3452.925851
-3996.211612,500,3460.35463
-3532.793648,500,3467.767178
-3551.965441,500,3475.148635
-3853.195427,500,3482.555956
-3868.228145,500,3490.190082
-4254.950769,500,3497.559809
-4366.154314,500,3504.892897
-3829.004056,500,3512.001067
-4393.087257,500,3519.152512
-3951.38073,500,3526.279199
-3561.303284,500,3533.461123
-3821.367511,500,3540.630785
-4170.825572,500,3547.79961
-4494.096082,500,3554.926674
-4617.435353,500,3562.180757
-5085.066644,500,3569.393259
-5167.000573,500,3576.586557
-5228.174754,500,3583.852594
-5480.052878,500,3591.162093
-5371.984002,500,3598.501099
-5404.483055,500,3605.851645
-5226.685249,500,3613.233413
-4950.593466,500,3620.578446
-4624.521865,500,3627.929971
-5135.457466,500,3635.54142
-5217.172588,500,3642.929
-5062.984909,500,3650.425724
-4799.150211,500,3657.813761
-5225.615696,500,3665.243105
-4756.421861,500,3672.612155
-5343.729414,500,3680.011662
-5139.165738,500,3687.327182
-5461.965447,500,3694.587496
-4975.397293,500,3701.963044
-4911.549614,500,3709.234994
-4809.933454,500,3716.482825
