#{"t_start": 1753540296.9886963, "env_id": "None"}
r,l,t
-161.689657,100,4262.636021
-165.982058,99,4270.369937
-166.506742,98,4278.01738
-164.503202,99,4285.738111
-163.218725,98,4293.349459
-213.264324,95,4300.749437
-182.362415,95,4308.100846
-159.93968,97,4315.500241
-164.526368,102,4323.307225
-163.223305,98,4331.005246
-165.785401,100,4338.761242
-176.716051,103,4346.792023
-169.014924,100,4354.649858
-175.758351,102,4362.649377
-178.471018,97,4370.261179
-160.757842,102,4378.206494
-177.587913,106,4386.382078
-155.897447,97,4393.782621
-155.727465,97,4401.32658
-225.412282,95,4408.682952
-163.686864,98,4416.180535
-163.362301,97,4423.483394
-161.997628,98,4431.173898
-182.636758,107,4439.464033
-160.631285,99,4447.094515
-159.651927,96,4454.530562
-173.590402,101,4462.44495
-166.281244,103,4470.49996
-159.366312,99,4478.14154
-162.56786,99,4485.831962
-213.094592,93,4493.091251
-171.541225,99,4500.704031
-173.346955,100,4508.442775
-159.901664,97,4515.987654
-212.793237,95,4523.344881
-154.115335,98,4530.969059
-156.644933,95,4538.459639
-189.062576,105,4546.794708
-185.490448,103,4554.555718
-159.893347,103,4561.46449
-149.093219,95,4567.852236
-155.310515,100,4574.56087
-160.618678,96,4581.215117
-150.256701,100,4588.922402
-155.367429,101,4596.686233
-227.033112,95,4603.942557
-174.317548,102,4610.80178
-203.935857,108,4618.449851
-156.749948,103,4626.416199
-150.934869,98,4633.982429
-153.51273,100,4641.543228
-189.451424,96,4648.891422
-185.768075,99,4656.684547
-189.034013,98,4664.241179
-152.793523,99,4671.816449
-189.779887,98,4679.349796
-151.334321,99,4686.919616
-157.224751,100,4694.566251
-158.887606,95,4701.826381
-149.772967,98,4709.360277
-150.739598,99,4716.855946
-167.935051,100,4724.530002
-160.302455,98,4731.992202
-149.549404,99,4739.590281
-152.048903,97,4747.069768
-158.8193,100,4754.776548
-218.366504,92,4761.859296
-159.391645,98,4769.491281
-154.165379,96,4776.906748
-157.056612,97,4784.500731
-161.760816,97,4792.009955
-238.016067,106,4800.338513
-155.968715,103,4808.302113
-154.902317,98,4815.905998
-147.649107,101,4823.809817
-146.290208,99,4831.518112
-152.829155,98,4839.02931
-164.71329,96,4845.511886
-224.451465,92,4851.66875
-158.811809,106,4858.789528
-146.212057,97,4865.291876
-156.63485,105,4872.316397
-158.684215,95,4878.703927
-155.957607,98,4885.509637
-151.68866,97,4892.946249
-153.082658,94,4900.10313
-160.650582,99,4907.56341
-161.420165,94,4914.5378
-162.407329,100,4922.324819
-151.852979,100,4929.950372
-154.125006,102,4937.812788
-155.508796,96,4945.323631
-143.22065,97,4952.755332
-150.873189,97,4960.212697
-202.260478,96,4967.542195
-152.569931,94,4975.130344
-152.689103,97,4982.650773
-162.49769,95,4990.188747
-152.350444,93,4997.552812
-148.14583,95,5005.182172
-145.448253,94,5012.751659
-206.202838,95,5020.418202
-203.69258,96,5028.163705
-150.284764,96,5035.865923
-145.136007,95,5043.38199
-203.488,94,5050.901728
-203.182525,94,5058.373961
-202.061076,94,5066.016189
-159.191098,97,5073.894226
-149.807891,95,5081.057596
-153.11603,96,5088.403275
-150.926414,97,5095.893612
-156.443125,95,5103.008679
-153.119932,98,5110.403029
-148.639397,92,5117.32861
-145.23294,94,5124.364941
-146.328657,96,5131.693124
-153.264651,98,5139.534514
-199.824061,94,5146.619286
-148.540336,95,5153.769714
-203.683329,93,5160.788138
-143.970116,94,5167.871412
-156.737414,96,5175.120574
-200.21229,92,5182.307497
-159.578372,91,5189.683607
-163.2587,93,5196.959947
-155.445372,102,5205.124652
-164.88976,101,5212.826072
-154.151794,97,5220.398305
-151.932924,97,5228.215069
-166.908172,94,5235.354412
-161.311721,105,5243.711096
-159.346036,103,5251.850292
-251.064771,109,5260.328833
-255.669163,124,5268.790852
-324.422214,120,5277.610618
-295.128159,119,5286.424231
-354.876453,119,5295.074407
-325.803251,119,5303.570243
-289.685565,120,5312.23017
-315.319815,119,5320.828773
-305.692247,119,5329.338531
-303.028476,120,5338.123055
-289.252556,119,5346.699304
-343.452509,119,5355.389673
-287.412929,119,5363.865537
-307.724432,119,5372.302053
-307.041688,119,5381.0224
-288.502757,119,5389.755247
-310.7634,119,5398.396398
-283.68475,119,5407.093834
-253.707745,119,5415.69936
-337.487392,120,5424.266106
-354.7108,120,5432.83206
-296.488601,119,5441.288001
-317.588769,120,5449.981715
-277.122552,120,5458.774693
-262.022837,124,5467.446815
-161.911061,94,5474.312932
-162.348488,100,5481.979683
-160.748414,98,5489.513368
-164.263115,103,5497.389765
-179.001306,110,5505.825991
-156.33754,98,5513.28896
-165.385445,95,5520.520072
-169.174824,98,5528.017908
-167.529603,104,5535.985898
-180.307093,115,5544.731338
-163.678711,104,5552.579569
-166.748294,107,5560.655531
-162.592568,96,5567.937778
-159.420853,93,5575.034283
-157.011207,97,5582.3238
-160.954895,96,5589.62015
-162.354085,97,5596.954332
-162.779485,97,5604.262564
-321.551345,184,5618.214609
-241.174882,142,5628.938363
-157.935599,95,5636.128624
-159.899005,96,5643.375665
-276.881517,160,5655.358923
-173.970699,100,5662.861372
-279.687034,164,5675.139107
-239.501029,140,5685.824733
-191.489913,117,5694.683871
-440.720918,254,5713.923365
-360.519564,203,5729.416068
-311.801168,169,5742.13015
-269.01111,135,5752.442895
-235.07259,127,5762.091654
-257.236725,138,5772.595528
-249.571942,121,5781.811998
-217.366428,109,5790.166086
-271.390073,146,5801.200144
-183.250339,114,5809.811997
-176.718721,117,5818.731735
-235.152174,124,5828.111326
-198.451373,117,5836.985663
-220.854604,122,5846.279185
-211.630579,113,5854.849878
-154.163436,96,5862.129357
-239.064435,132,5872.087911
-161.919575,92,5879.031518
-156.478489,95,5886.164081
-159.72586,92,5893.187191
-194.715421,108,5901.382407
